cdm_name,denominator_cohort_name,outcome_cohort_name,incidence_start_date,incidence_end_date,analysis_censor_cohort_name,analysis_complete_database_intervals,analysis_outcome_washout,analysis_repeated_events,denominator_age_group,denominator_days_prior_observation,denominator_end_date,denominator_requirements_at_entry,denominator_sex,denominator_start_date,denominator_target_cohort_name,denominator_time_at_risk,denominator_count,outcome_count,person_days,person_years,incidence_100000_pys,incidence_100000_pys_95CI_lower,incidence_100000_pys_95CI_upper,result_type
mock,denominator_cohort_1,cohort_1,2021-02-01,2024-03-31,None,FALSE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,441785,293,149061555,408108.296,71.795,63.808,80.504,tidy_incidence
mock,denominator_cohort_4,cohort_1,2021-02-17,2024-03-31,None,FALSE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,370626,6,9541652,26123.619,22.968,8.429,49.991,tidy_incidence
mock,denominator_cohort_7,cohort_1,2021-03-10,2024-03-31,None,FALSE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,367368,37,33299223,91168.304,40.584,28.575,55.94,tidy_incidence
mock,denominator_cohort_10,cohort_1,2021-11-26,2024-03-31,None,FALSE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_3,0 to Inf,270383,23,24407774,66824.843,34.418,21.818,51.644,tidy_incidence
mock,denominator_cohort_13,cohort_1,2022-06-04,2024-03-31,None,FALSE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_4,0 to Inf,106011,9,9598736,26279.907,34.247,15.66,65.011,tidy_incidence
mock,denominator_cohort_16,cohort_1,2022-10-25,2024-03-31,None,FALSE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_5,0 to Inf,35579,6,3171180,8682.218,69.107,25.361,150.416,tidy_incidence
mock,denominator_cohort_19,cohort_1,2023-05-08,2024-03-31,None,FALSE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_6,0 to Inf,11135,3,998741,2734.404,109.713,22.625,320.628,tidy_incidence
mock,denominator_cohort_22,cohort_1,2023-09-20,2024-03-31,None,FALSE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_7,0 to Inf,4534,4,400987,1097.843,364.351,99.273,932.883,tidy_incidence
mock,denominator_cohort_2,cohort_1,2021-02-01,2024-03-31,None,FALSE,inf,FALSE,50 to 64,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,274105,936,78083765,213781.697,437.83,410.227,466.802,tidy_incidence
mock,denominator_cohort_5,cohort_1,2021-02-17,2024-03-31,None,FALSE,inf,FALSE,50 to 64,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,244716,19,6030203,16509.796,115.083,69.288,179.717,tidy_incidence
